path,text,preprocessed_text
/kaggle/input/dataset-ir-assignment1/text_files/file314.txt,"The Amazon advertised pictures of this item is a Fender FTE3 pre amp. The description says it's a Fishman Isys III type. I googled it and found out there's two version of pre amp type of this T Bucket 300 CE series. The one I got today is a Fishman type pre amp which is for me much better that FTE3. Out of the box, I fell inlove with the color and design. Mine is a 3 tone sunburst. The action is just right for me. The tone/sound is awesome. I hooked it up in my Vox amp and I have to say this thing really rocks. Of course you can get a better sounding acoustic/electric guitar out there for a very much expensive price. I'm a family man with two kids and I am not gonna spend a thousand bucks just for a hobby. Amplified or not I love the tone of this baby. For it's appearance, sound quality, and of course THE PRICE, I'm giving it a five stars.

I uploaded some pictures (above) of the Fishman pre amp version of this T bucket series. :O)..",amazon advertised pictures item fender fte pre amp description says fishman isys iii type googled found two version pre amp type bucket ce series one got today fishman type pre amp much better fte box fell inlove color design mine tone sunburst action right tone sound awesome hooked vox amp say thing really rocks course get better sounding acoustic electric guitar much expensive price family man two kids gonna spend thousand bucks hobby amplified love tone baby appearance sound quality course price giving five stars uploaded pictures fishman pre amp version bucket series
/kaggle/input/dataset-ir-assignment1/text_files/file998.txt,"I really like the simplicity of this bridge. It adjusts easy for string height and length. It comes with all the mounting screws and even a small allen wrench to make the height adjustments. The provided mounting screws are Phillips head screws. The one thing that I missed when I ordered this was the fact that it is not a bridge for string-thru the guitar body placement. The strings dead end to the stop-flair of the plate. I included a picture of this so it may help to make others aware that it is not for string-thru applications. No biggie tho for me, I will use it on another project now.",really like simplicity bridge adjusts easy string height length comes mounting screws even small allen wrench make height adjustments provided mounting screws phillips head screws one thing missed ordered fact bridge string thru guitar body placement strings dead end stop flair plate included picture may help make others aware string thru applications biggie tho use another project
/kaggle/input/dataset-ir-assignment1/text_files/file603.txt,"Truthfully, I had no idea that the even were ukulele capos. But why not? I use them on guitars and banjo, and there are certainly times when you might want to shift key without transposing so you can take advantage of open strings.

Regardless, this is a well made, lightweight capo. Weight is of particular importance when dealing with an instrument that's already very small and lightweight, and hernally played without a strap. This capo won't make your soprano uke neck heavy. The soft rubber surface on the moveable jaw does a good job of pressing synthetic strings against a fret without stretching them out of tune. A useful tool for ukuleleists.",truthfully idea even ukulele capos use guitars banjo certainly times might want shift key without transposing take advantage open strings regardless well made lightweight capo weight particular importance dealing instrument already small lightweight hernally played without strap capo make soprano uke neck heavy soft rubber surface moveable jaw good job pressing synthetic strings fret without stretching tune useful tool ukuleleists
/kaggle/input/dataset-ir-assignment1/text_files/file175.txt,"My ES*335 fit loose and needed some padding added to keep the guitar snug, but if you don't mind doing that it's a good deal...",es fit loose needed padding added keep guitar snug mind good deal
/kaggle/input/dataset-ir-assignment1/text_files/file457.txt,I bought a used MIM strat that came with a black pick guard and creamish colored pickups. The guitar was great but the pick guard wasn't my style. I put this on and now I love the look of this guitar. Highly recommend.,bought used mim strat came black pick guard creamish colored pickups guitar great pick guard style put love look guitar highly recommend
/kaggle/input/dataset-ir-assignment1/text_files/file565.txt,"I picked this up to help complete an overhaul of my '78 strat. Everything lined up perfectly, and this product was every bit as high quality as the original. Took just over 2 weeks to arrive (which was about what I was expecting). Very pleased with everything.",picked help complete overhaul strat everything lined perfectly product every bit high quality original took weeks arrive expecting pleased everything
/kaggle/input/dataset-ir-assignment1/text_files/file349.txt,"I love this little guy. I was looking for a simple combo amp to use at the church I play at. This amp is plenty loud, and has great sound quality. That's it. No frills. And it looks cool too.

I should mention that the arrangement of the church group is just a piano, guitar, and vocals. With that arrangement, I have my volume about 1/3 of the way up. Haven't tried this amp against drums yet, but I'm fairly confident it would cut through. At least playing with ""church drums.""",love little guy looking simple combo amp use church play amp plenty loud great sound quality frills looks cool mention arrangement church group piano guitar vocals arrangement volume way tried amp drums yet fairly confident would cut least playing church drums
/kaggle/input/dataset-ir-assignment1/text_files/file65.txt,"When I bought my Roland Gaia, I needed another stand, as I already have two keyboards on a double tiered stand, and I think 3 is too much.  The least expensive stand available at ""that other store"" was over $30, so I figured I get something used, or local.  Checking Amazon, I saw this stand, which at the time of my order was $20.00 even.  It seemed like a great value, so I ordered it.  The packaging was a little flimsy, but the stand arrived in one piece and in good condition.  It fit my Gaia perfectly.  The included straps don't work with the Gaia, but the stand holds the keyboard well, and at the right height.  It's a little beefier than stands in that price range, though not as beefy as my 2 tier stand, though that was much more expensive.  This is totally a five star stand at the price I paid, and even at $5.00 more at the time of this review.  For an inexpensive stand, I don't think anyone can do better.  Recommended.",bought roland gaia needed another stand already two keyboards double tiered stand think much least expensive stand available store figured get something used local checking amazon saw stand time order even seemed like great value ordered packaging little flimsy stand arrived one piece good condition fit gaia perfectly included straps work gaia stand holds keyboard well right height little beefier stands price range though beefy tier stand though much expensive totally five star stand price paid even time review inexpensive stand think anyone better recommended
/kaggle/input/dataset-ir-assignment1/text_files/file634.txt,"I'm going to give this a five stars.  It may feel fragile or not strong enough ones you open the mail, but it's a very good product and feels strong, ones you install it.  That's also easy to do.  Check out the pictures I posted. I'm happy",going give five stars may feel fragile strong enough ones open mail good product feels strong ones install also easy check pictures posted happy
/kaggle/input/dataset-ir-assignment1/text_files/file988.txt,"You can find cheaper power supply units, but they tend to add noise.  Thanks to Amazon's return policy, I was able to try out a couple units.  The MXR M238 unit worked great and is very quiet.  Pedals can be very picky and I had trouble with chaining some of the pedals together.  The MXR pedal was the best option for me, it had enough sockets and the size of the unit worked great for my board.",find cheaper power supply units tend add noise thanks amazon return policy able try couple units mxr unit worked great quiet pedals picky trouble chaining pedals together mxr pedal best option enough sockets size unit worked great board
/kaggle/input/dataset-ir-assignment1/text_files/file185.txt,"I had this put together in less than 5 minutes, and made my 3-guitar stand a 4-guitar stand.",put together less minutes made guitar stand guitar stand
/kaggle/input/dataset-ir-assignment1/text_files/file615.txt,Hey actually this wasn't what I expected. I expected a cheap case. This is a well made sturdy case for a great price. It did smell horrible lol. But it also came with rack screws AND washers.,hey actually expected expected cheap case well made sturdy case great price smell horrible lol also came rack screws washers
/kaggle/input/dataset-ir-assignment1/text_files/file620.txt,"This dampener works OK, but man it is really clumsy and obtrusive. When it's in the up position you can poke someone's eye out. You're better off learning to use the palm of your hand at the bridge of your guitar to dampen or muffle the sound or try tying a ""hanky"" (handkerchief) at the top of the neck.",dampener works ok man really clumsy obtrusive position poke someone eye better learning use palm hand bridge guitar dampen muffle sound try tying hanky handkerchief top neck
/kaggle/input/dataset-ir-assignment1/text_files/file491.txt,"I'm a long time musician, and a long time user of Ernie Ball Strings (on electric guitars). Unfortunately, I can't endorse these strings, even though they sound great and the light gauge saves my fingers. The problem is that they break, in my humble opinion, excessively easily. I put a set on and broke a g string within 2 days of moderate use. It snapped near the saddle, so I didn't think much of it. I replaced the set, and within a few more days I noticed that the wrapping on the g string was broken and becoming unraveled near my third fret. I bought 7 sets, so I still have 5 more sets to go through, but honestly I'll probably go back to elixirs when these are gone, since they seem to last longer.

*update*
I purchased these strings on 12/19. It' now 1/18, and I've broken 3 strings from 3 different packs.
At this point, I really hate these strings.",long time musician long time user ernie ball strings electric guitars unfortunately endorse strings even though sound great light gauge saves fingers problem break humble opinion excessively easily put set broke g string within days moderate use snapped near saddle think much replaced set within days noticed wrapping g string broken becoming unraveled near third fret bought sets still sets go honestly probably go back elixirs gone since seem last longer update purchased strings broken strings different packs point really hate strings
/kaggle/input/dataset-ir-assignment1/text_files/file911.txt,"Wow this thing is so cool I play it threw two orange 8"" cabs it is my favorite practice amp by far. Three knows zero bull $#!+. Once I turn it up around 2 my dog starts to howl no joke I really goes. I'm going to try jamming with it here soon and see how it contends with my brute of a drummer. It can go from clean to pretty dirty but if you really want to get nasty you will need a nice hot humbucker and a distortion pedal. I dug it's sound I didn't bother with a pedal for the first week. Can't go wrong for the price. The little tube in the preamp does really make it sound good.",wow thing cool play threw two orange cabs favorite practice amp far three knows zero bull turn around dog starts howl joke really goes going try jamming soon see contends brute drummer go clean pretty dirty really want get nasty need nice hot humbucker distortion pedal dug sound bother pedal first week go wrong price little tube preamp really make sound good
/kaggle/input/dataset-ir-assignment1/text_files/file354.txt,"I use this with the Zoom G3n and it works well as an expression pedal. Good value, solid build quality, so far so good.",use zoom g n works well expression pedal good value solid build quality far good
/kaggle/input/dataset-ir-assignment1/text_files/file27.txt,Very stable and sturdy.... Well worth the $$ to protect your expensive gear,stable sturdy well worth protect expensive gear
/kaggle/input/dataset-ir-assignment1/text_files/file595.txt,"Works so good that I didn't expect it to. The connected is not locked into any one position which means it's always turning so that can be a bit annoying. But once set, this small device delivers better than my amp. Was thinking of getting for a friend. I may just do so since it is this good",works good expect connected locked one position means always turning bit annoying set small device delivers better amp thinking getting friend may since good
/kaggle/input/dataset-ir-assignment1/text_files/file622.txt,"Worked ok in a pinch as a last minute purchase.  All of my amp rack patch panels have Neutrik NL4MP connectors, as most of my speakers.  I have some monitors with 1/4"" inputs which I am swapping out with Neutrik NL4MPs.  So no more 1/4""inputs and no more knock offs for me.  No I will NOT purchase this product again. (Photo shows 'my custom made' 12/4 cable connected to OEM cable connector and panel mount).",worked ok pinch last minute purchase amp rack patch panels neutrik nl mp connectors speakers monitors inputs swapping neutrik nl mps inputs knock offs purchase product photo shows custom made cable connected oem cable connector panel mount
/kaggle/input/dataset-ir-assignment1/text_files/file11.txt,"I gave a cheaper neck a shot. I am blown away by the look of this neck. The stain used is just enough to highlight the grain nicely and the clear coat is darn near perfect. I figured a lot of time would be during the ""adjustment"" phase of the build. Nothing else had to be done once the neck was set and bolted on. What a pleasant surprise since in past builds I'd spent an hour or more getting them set. I've used Fender and Warmoth before that cost 3 times and more than this one. The proof had been in the pudding though. This neck has been on this guitar for over a year now. No problems. I use this guitar as a back up and play it quite frequently on gigs. I buy more!",gave cheaper neck shot blown away look neck stain used enough highlight grain nicely clear coat darn near perfect figured lot time would adjustment phase build nothing else done neck set bolted pleasant surprise since past builds spent hour getting set used fender warmoth cost times one proof pudding though neck guitar year problems use guitar back play quite frequently gigs buy
/kaggle/input/dataset-ir-assignment1/text_files/file429.txt,"Great quality patch cables!

I wanted something other than those cheap blue, green, red and yellow patch cables because I didn't want to replace the cables on my pedal board several times a year.

I purchased these because they had excellent reviews and I'd like to add to those because they are great cables, well built, feel sturdy and have a great quality feel. I get great tones from my pedals and amp and they were the perfect link for me. If you're on the fence about the Hosa CPE-118, go for it, you will be happy with them!",great quality patch cables wanted something cheap blue green red yellow patch cables want replace cables pedal board several times year purchased excellent reviews like add great cables well built feel sturdy great quality feel get great tones pedals amp perfect link fence hosa cpe go happy
/kaggle/input/dataset-ir-assignment1/text_files/file403.txt,Amazing quality. Stays in tune. Love everything about it!,amazing quality stays tune love everything
/kaggle/input/dataset-ir-assignment1/text_files/file423.txt,"In theory this is a great pedal but they are notorious for having problems freezing up. Mine is basically a paper weight right now. It has to go to a service center to be reset. From everything I've read on forums, odds are that it will probably freeze up again after being repaired. Hopefully not but I'm not feeling very optimistic. When / if TC gets the software to be more stable then this would be a fantastic product but until that happens I can't recommend it.",theory great pedal notorious problems freezing mine basically paper weight right go service center reset everything read forums odds probably freeze repaired hopefully feeling optimistic tc gets software stable would fantastic product happens recommend
/kaggle/input/dataset-ir-assignment1/text_files/file688.txt,Just out these beauty's on my Mitchell and they are perfect. I wanted to add character to my guitar and this definitely helps.,beauty mitchell perfect wanted add character guitar definitely helps
/kaggle/input/dataset-ir-assignment1/text_files/file943.txt,I was surprised of the quality of this mic. I used it for recording sessions and sounded clean. I would definitely recommend to anyone to purchase this product. I did not use the unbalanced cable it came with because I had balanced cables that were better to use.,surprised quality mic used recording sessions sounded clean would definitely recommend anyone purchase product use unbalanced cable came balanced cables better use
/kaggle/input/dataset-ir-assignment1/text_files/file375.txt,"Great, lightweight product that easily replaces some of my older lighting that's nearly eight times the size and weight.  Having two synced with a DMX cable easily fills the room.  The extra colors not available in many of the big name lights is great addition (orange, purple and white).  Only time will tell how reliable they are.  I'm not a big fan of the white house (which glows), but aside from that, they're perfect.

As for my background, I'm a professional DJ with 15 years of experience.  I replaced a couple of Chauvet lights with these.  The Kinta X and the Derby X.  These are better.",great lightweight product easily replaces older lighting nearly eight times size weight two synced dmx cable easily fills room extra colors available many big name lights great addition orange purple white time tell reliable big fan white house glows aside perfect background professional dj years experience replaced couple chauvet lights kinta x derby x better
/kaggle/input/dataset-ir-assignment1/text_files/file934.txt,"I really love playing this guitar. Every since I received it, it has been by my side. Full sized neck. Sustain is fantastic. It stays in tune even with new strings. Fits perfectly in my suitcase. Will be taking it on all my vacations. I added the foam to the lap rest for a little more comfort while sitting on my lap. Plus, to prevent it from sliding when sitting. If you want a great travel guitar or even a guitar to play around the house, this is the one to get.",really love playing guitar every since received side full sized neck sustain fantastic stays tune even new strings fits perfectly suitcase taking vacations added foam lap rest little comfort sitting lap plus prevent sliding sitting want great travel guitar even guitar play around house one get
/kaggle/input/dataset-ir-assignment1/text_files/file857.txt,Great Unit./....good price....and works well,great unit good price works well
